displacement,category,partisanship,timeframe,starttime,correlation,pvalue
1,Immigration,CenterLeft,3,47,1.0,0.0
2,Immigration,CenterRight,3,47,1.0,0.0
5,Immigration,Right,3,47,1.0,0.0
3,Immigration,FarRight,3,47,1.0,0.0
5,Anti-semitism,Right,3,47,1.0,0.0
3,Anti-semitism,FarRight,3,47,1.0,0.0
1,Immigration,FarLeft,6,1,0.8838834764831843,0.019441768276467288
3,Islamophobia,Left,6,1,0.9561828874675149,0.002837845926734451
4,Islamophobia,CenterRight,6,1,0.9561828874675149,0.002837845926734451
1,Immigration,FarLeft,6,2,0.9007546982220898,0.014285680140329604
2,Immigration,Right,6,2,0.7474093186836596,0.08764517650339472
1,Islamophobia,FarLeft,6,2,0.9561828874675149,0.002837845926734451
3,Islamophobia,Left,6,2,0.9561828874675149,0.002837845926734451
4,Islamophobia,CenterRight,6,2,0.9561828874675149,0.002837845926734451
1,Transphobia,Left,6,2,1.0,0.0
3,Transphobia,CenterLeft,6,2,1.0,0.0
2,Immigration,Right,6,3,0.9437670058617675,0.004654315873828743
1,Islamophobia,FarLeft,6,3,0.730798148647035,0.09894997496486449
4,Islamophobia,FarLeft,6,3,0.9429903335828893,0.004782509480212031
3,Islamophobia,Left,6,3,0.9429903335828893,0.004782509480212031
4,Islamophobia,CenterRight,6,3,0.9429903335828893,0.004782509480212031
1,Transphobia,Left,6,3,1.0,0.0
3,Transphobia,CenterLeft,6,3,1.0,0.0
1,Immigration,FarLeft,6,4,0.735083187915682,0.09597532354394157
2,Immigration,Right,6,4,0.9111469032188404,0.011491567262578764
3,Immigration,Right,6,4,0.8283153665625822,0.04168316510040874
1,Islamophobia,FarLeft,6,4,0.730798148647035,0.09894997496486449
4,Islamophobia,FarLeft,6,4,0.9429903335828893,0.004782509480212031
3,Islamophobia,Left,6,4,0.9429903335828893,0.004782509480212031
5,Islamophobia,CenterLeft,6,4,0.9429903335828893,0.004782509480212031
4,Islamophobia,CenterRight,6,4,0.9429903335828893,0.004782509480212031
3,Islamophobia,Right,6,4,0.9349469900084569,0.006210192438563023
1,Transphobia,Left,6,4,1.0,0.0
3,Transphobia,CenterLeft,6,4,1.0,0.0
5,Anti-semitism,FarLeft,6,4,1.0,0.0
3,Anti-semitism,CenterLeft,6,4,1.0,0.0
1,Anti-semitism,Center,6,4,1.0,0.0
1,Anti-semitism,Right,6,4,1.0,0.0
3,Immigration,Left,6,5,0.7385489458759963,0.09359902097036805
2,Immigration,Center,6,5,0.7006490497453708,0.12100391941035306
4,Immigration,CenterRight,6,5,0.7006490497453708,0.12100391941035306
2,Immigration,Right,6,5,0.7890763647670372,0.062041302258050185
3,Immigration,Right,6,5,0.7006490497453708,0.12100391941035306
5,Immigration,FarRight,6,5,0.8528028654224418,0.03090583474722529
1,Islamophobia,FarLeft,6,5,0.730798148647035,0.09894997496486449
4,Islamophobia,FarLeft,6,5,0.9429903335828893,0.004782509480212031
3,Islamophobia,Left,6,5,0.8931977372352651,0.01650095306622453
3,Islamophobia,CenterLeft,6,5,0.7016464154456232,0.12024334063356466
